int,Key
0,0_0.75
1,1_0.75
2,2_0.75
3,3_0.75
4,4_0.75
5,5_0.75
6,6_0.75
7,7_0.75
8,8_0.75
9,9_0.75
10,10_0.75
11,11_0.75
12,12_0.75
13,13_0.75
14,14_0.75
15,15_0.75
16,16_0.75
17,17_0.75
18,18_0.75
19,19_0.75
20,20_0.75
21,21_0.75
22,22_0.75
23,23_0.75
24,24_0.75
25,25_0.75
26,26_0.75
27,27_0.75
28,28_0.75
29,29_0.75
30,30_0.75
31,31_0.75
32,32_0.75
33,33_0.75
34,34_0.75
35,35_0.75
36,36_0.75
37,37_0.75
38,38_0.75
39,39_0.75
40,40_0.75
41,41_0.75
42,42_0.75
43,43_0.75
44,44_0.75
45,45_0.75
46,46_0.75
47,47_0.75
48,48_0.75
49,49_0.75
50,50_0.75
